"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL138340";"";"None";"442.60";"1";"6.07";"13k";"CCCCCCCCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"35000.0";"nM";"4.46";"";"";"UO_0000065";"10.07";"0.19";"-1.61";"4.38";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"35.0"
"CHEMBL4519157";"";"None";"398.47";"0";"4.74";"6";"O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"14.77";"0.27";"1.15";"8.81";"0";"CHEMBL4324124";"Inhibition of wild type EGFR in mouse BAF3 cells assessed as reduction in cell proliferation incubated for 72 hrs by Celltiter-Glo luminescent cell viability assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4321840";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307634";"";"";"";"1300.0"
"CHEMBL266995";"";"None";"287.70";"0";"3.67";"12";"Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1";"IC50";"'='";"10200.0";"nM";"4.99";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL711650";"Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation";"F";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1132606";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"10.2"
"CHEMBL52765";"";"None";"315.17";"0";"3.72";"3";"Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"23.47";"0.53";"3.68";"11.59";"0";"CHEMBL675513";"Inhibition of epidermal growth factor receptor tyrosine kinase (EGFR TK)";"B";"BAO_0000357";"single protein format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1145931";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"0.04"
"CHEMBL7819";"";"None";"315.76";"0";"3.57";"13";"COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1";"IC50";"'='";"2830.0";"nM";"5.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL711650";"Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation";"F";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1132606";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"2.83"
"CHEMBL4537790";"";"None";"542.69";"1";"3.77";"BI-4020";"Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"12.39";"0.23";"2.95";"7.38";"0";"CHEMBL4324124";"Inhibition of wild type EGFR in mouse BAF3 cells assessed as reduction in cell proliferation incubated for 72 hrs by Celltiter-Glo luminescent cell viability assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4321840";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307634";"";"";"";"190.0"
"CHEMBL4566193";"";"None";"420.45";"0";"3.61";"7";"Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21";"IC50";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"15.62";"0.29";"2.96";"7.76";"0";"CHEMBL4324124";"Inhibition of wild type EGFR in mouse BAF3 cells assessed as reduction in cell proliferation incubated for 72 hrs by Celltiter-Glo luminescent cell viability assay";"B";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL4321840";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307634";"";"";"";"270.0"
"CHEMBL7810";"";"None";"405.88";"1";"5.28";"14";"COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1";"IC50";"'='";"4930.0";"nM";"5.31";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL711650";"Inhibition of EGF-dependent mouse keratinocyte MK cell proliferation";"F";"BAO_0000019";"assay format";"Mus musculus";"None";"None";"None";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1132606";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";"";"4.93"
"CHEMBL340520";"";"None";"433.47";"0";"2.94";"3";"COc1ccc(Cc2cn(Cc3ccc(OC)cc3)c(NC3=NC(=O)N(C)C3=O)n2)cc1";"IC50";"'='";"36900.0";"nM";"4.43";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL675510";"Inhibition of Epidermal growth factor receptor mediated mitogenesis of NIH3T3 cells";"F";"BAO_0000219";"cell-based format";"Mus musculus";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1131126";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307716";"";"";"";"36.9"
"CHEMBL44918";"";"None";"396.42";"0";"3.53";"13b";"O=C(NCCc1ccc(F)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"13.62";"0.25";"1.87";"5.30";"0";"CHEMBL675519";"Inhibition of epidermal growth factor receptor phosphorylation in BaF3 mouse lymphoid cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BaF3";"None";"";"";"";"CHEMBL3608";"Epidermal growth factor receptor";"Mus musculus";"SINGLE PROTEIN";"CHEMBL1134836";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3307634";"";"";"";"4.0"
